Argument,BRISK,FAST,FREAK,GFTT,MSER,ORB,SIFT,STAR,SURF,
-50,0.95935,0.978839,0.908055,0.986945,0.993007,0.928382,0.928333,0.96732,0.936932,
-40,0.974638,0.989658,0.960725,0.990037,0.996753,0.980861,0.961969,0.987988,0.971191,
-30,0.993209,0.994386,0.986648,0.998792,1,0.988987,0.990378,0.991477,0.987929,
-20,0.995185,0.998931,0.995327,1,1,0.993711,0.994914,1,0.996926,
-10,1,1,1,1,1,0.997959,0.998776,1,1,
0,1,1,1,1,1,1,1,1,1,
10,1,1,0.998025,1,1,0.995859,0.998771,1,0.998712,
20,0.995253,0.99858,0.991204,0.998819,1,0.997812,0.997462,1,0.994686,
30,0.995122,0.997635,0.981625,0.993895,0.996815,0.983982,0.988947,0.991525,0.985747,
40,0.991482,0.994016,0.96468,0.991184,0.996667,0.957547,0.980537,0.988166,0.971483,
50,0.982394,0.988343,0.952672,0.975163,0.992933,0.925641,0.973103,0.969512,0.957858,
