Argument,BRISK,FAST,FREAK,MSER,ORB,STAR,
0,1,1,1,1,1,1,
10,0.471939,0.506389,0.776708,0.627358,0.895013,0.73913,
20,0.138329,0.0759711,0.619395,0.290503,0.83908,0.207792,
30,0.011396,0.0105895,0.534958,0.0549451,0.880682,0.0572687,
40,0.00884956,0.00218739,0.505353,0.0248447,0.852861,0.00925926,
50,0,0.000728863,0.493348,0.00628931,0.853591,0.00930233,
60,0,0.000379651,0.547391,0.0060241,0.831956,0.00495049,
70,0,0.000377929,0.629431,0,0.855978,0,
80,0,0,0.75835,0,0.825858,0.00473934,
90,0.00290698,0.000359066,0.983027,0,0.863309,0,
100,0,0,0.785083,0.00598802,0.820163,0,
110,0,0.000353607,0.618802,0.00617284,0.815341,0.00480769,
