Argument,BRISK,FAST,FREAK,GFTT,MSER,ORB,SIFT,STAR,SURF,
0,142.088,1630.43,404.186,86.2795,415.52,53.5926,517.437,50.8148,453.907,
10,135.279,1424.21,417.598,83.2069,346.172,48.5448,631.6,46.9881,442.152,
20,121.369,1309.59,385.679,83.2139,339.612,47.5882,575.56,47.4361,448.617,
30,136.535,1264.39,367.375,85.0738,348.599,47.4986,556.777,47.1132,456.642,
40,120.979,1308.45,413.67,85.575,329.339,47.9326,550.843,47.3614,476.863,
50,120.026,1280.79,363.535,84.2895,355.294,47.5952,557.738,48.1831,434.131,
60,124.278,1308.97,369.527,66.7505,332.91,49.4747,594.424,41.2857,420.656,
70,121.112,1402.85,379.323,62.7013,352.717,47.7441,550.333,34.9491,407.08,
80,121.948,1295.57,438.429,61.7153,376.258,48.486,538.681,34.3929,451.951,
90,133.039,1305.51,366.441,60.965,404.039,49.1388,520.936,34.6762,481.538,
100,129.071,1411.5,374.798,62.4045,361.094,49.6982,533.587,34.7,434.419,
110,120.597,1613.29,364.052,63.0116,338.137,47.7926,546.315,35.2426,431.96,
