"Brightness change"
Argument	"BRISK"	"FAST"	"FREAK"	"GFFT"	"MSER"	"ORB"	"SIFT"	"STAR"	"SURF"	
-50	0.941057	0.978839	0.908055	0.986945	0.987923	0.928382	0.923304	0.96732	0.923668	
-40	0.971377	0.989658	0.960725	0.990037	0.995526	0.980861	0.965318	0.987988	0.959699	
-30	0.986711	0.994386	0.986648	0.998792	0.995708	0.988987	0.985493	0.991477	0.988206	
-20	0.99376	0.998931	0.995327	1	1	0.993711	0.998663	1	0.996455	
-10	0.998505	1	1	1	1	0.997959	0.999138	1	0.999623	
0	1	1	1	1	1	1	1	1	1	
10	1	1	0.998025	1	1	0.995859	0.999566	1	0.998853	
20	0.993827	0.99858	0.991204	0.998819	1	0.997812	0.995966	1	0.993304	
30	0.99362	0.997635	0.981625	0.993895	0.997812	0.983982	0.987179	0.991525	0.9881	
40	0.988235	0.994016	0.96468	0.991184	0.990805	0.957547	0.979157	0.988166	0.974403	
50	0.973822	0.988343	0.952672	0.975163	0.988067	0.925641	0.975158	0.969512	0.963677	
"Gaussian blur"
Argument	"BRISK"	"FAST"	"FREAK"	"GFFT"	"MSER"	"ORB"	"SIFT"	"STAR"	"SURF"	
1	0.660057	0.914618	0.940465	0.969828	0.822157	0.964824	0.766385	0.94375	0.949602	
2	0.469965	0.860683	0.893319	0.911532	0.795222	0.912	0.628717	0.890566	0.88228	
3	0.296089	0.774849	0.816883	0.811052	0.710317	0.835227	0.510404	0.834123	0.811605	
4	0.180556	0.722854	0.785609	0.731481	0.682028	0.786585	0.475	0.824176	0.736111	
5	0.146789	0.626687	0.69616	0.604651	0.638743	0.669782	0.43738	0.763514	0.677323	
6	0.147059	0.586912	0.693227	0.475248	0.603352	0.616162	0.447867	0.716418	0.614583	
"Rotation"
Argument	"BRISK"	"FAST"	"FREAK"	"GFFT"	"MSER"	"ORB"	"SIFT"	"STAR"	"SURF"	
0	1	1	1	1	1	1	1	1	1	
10	0.524631	0.506389	0.776708	0.760135	0.762215	0.895013	0.913607	0.73913	0.762184	
20	0.479115	0.0759711	0.619395	0.21179	0.656	0.83908	0.881637	0.207792	0.629105	
30	0.508997	0.0105895	0.534958	0.0418502	0.251429	0.880682	0.889694	0.0572687	0.517845	
40	0.464567	0.00218739	0.505353	0.00671141	0.038961	0.852861	0.874496	0.00925926	0.468961	
50	0.463612	0.000728863	0.493348	0.00223714	0.00699301	0.853591	0.896632	0.00930233	0.458709	
60	0.475325	0.000379651	0.547391	0.00230415	0.00699301	0.831956	0.889273	0.00495049	0.487871	
70	0.474531	0.000377929	0.629431	0	0.0137931	0.855978	0.890527	0	0.600955	
80	0.406915	0	0.75835	0	0	0.825858	0.906812	0.00473934	0.731751	
90	0.675862	0.000359066	0.983027	0	0.0178571	0.863309	0.997349	0	0.994017	
100	0.491525	0	0.785083	0.00215983	0.0127389	0.820163	0.916126	0	0.763173	
110	0.41161	0.000353607	0.618802	0	0.00595238	0.815341	0.885762	0.00480769	0.622293	
"Scaling"
Argument	"BRISK"	"FAST"	"FREAK"	"GFFT"	"MSER"	"ORB"	"SIFT"	"STAR"	"SURF"	
0.25	0.0833333	0.00684932	0.6	0	0.518519	0.0666667	0.674847	NULL	0.733813	
0.35	0.0762712	0.0097493	0.603448	0.012987	0.663793	0.238532	0.682482	0	0.634503	
0.45	0.0883978	0.0169946	0.525547	0.0314286	0.645161	0.401515	0.719212	0.025	0.618497	
0.55	0.0753138	0.0409889	0.656827	0.0719603	0.738462	0.564626	0.707182	0.0595238	0.649051	
0.65	0.173285	0.116623	0.633867	0.232614	0.799145	0.692833	0.739517	0.165217	0.662989	
0.75	0.389068	0.294686	0.682274	0.470455	0.791506	0.759197	0.822835	0.460606	0.718647	
0.85	0.462162	0.657293	0.744654	0.821799	0.849398	0.856322	0.846545	0.713004	0.743158	
0.95	0.528395	0.912267	0.904902	0.969317	0.883853	0.857542	0.880092	0.911184	0.893018	
1.05	0.563246	0.912233	0.916737	0.979536	0.885714	0.865753	0.852033	0.908257	0.905614	
1.15	0.482993	0.68518	0.76843	0.856049	0.905759	0.858006	0.817456	0.72093	0.773695	
1.25	0.416856	0.377381	0.68323	0.633394	0.867725	0.797619	0.800938	0.507407	0.725552	

