Average
SIFT-1	Brightness change	0.211538
SIFT-1	Gaussian blur	0
SIFT-1	Rotation	0.309524
SIFT-1	Scaling	0.0882353
SIFT-100	Brightness change	0.671065
SIFT-100	Gaussian blur	0.405765
SIFT-100	Rotation	0.0797281
SIFT-100	Scaling	0.179312
SIFT-1000	Brightness change	0.674124
SIFT-1000	Gaussian blur	0.424092
SIFT-1000	Rotation	0.0850785
SIFT-1000	Scaling	0.201183
SIFT-50	Brightness change	0.674124
SIFT-50	Gaussian blur	0.424092
SIFT-50	Rotation	0.0850785
SIFT-50	Scaling	0.201183
"Brightness change"
Argument	"SIFT-1"	"SIFT-100"	"SIFT-1000"	"SIFT-50"	
-127	0	0.167364	0.159653	0.159653	
-117	0	0.206695	0.207921	0.207921	
-107	0	0.267782	0.272277	0.272277	
-97	0	0.332218	0.32797	0.32797	
-87	0	0.410879	0.402228	0.402228	
-77	0	0.481172	0.503713	0.503713	
-67	0	0.573222	0.580446	0.580446	
-57	0	0.660251	0.667079	0.667079	
-47	0	0.738075	0.759901	0.759901	
-37	0.5	0.847699	0.867574	0.867574	
-27	0.5	0.90795	0.928218	0.928218	
-17	0.5	0.96569	0.965347	0.965347	
-7	0.5	0.989958	0.988861	0.988861	
3	0.5	0.987448	0.986386	0.986386	
13	0.5	0.96569	0.961634	0.961634	
23	0.5	0.937239	0.941832	0.941832	
33	0.5	0.893724	0.897277	0.897277	
43	0.5	0.853557	0.861386	0.861386	
53	0.5	0.811715	0.82797	0.82797	
63	0.5	0.768201	0.773515	0.773515	
73	0	0.733891	0.735148	0.735148	
83	0	0.691213	0.695545	0.695545	
93	0	0.644351	0.636139	0.636139	
103	0	0.591632	0.582921	0.582921	
113	0	0.534728	0.523515	0.523515	
123	0	0.485356	0.472772	0.472772	
"Gaussian blur"
Argument	"SIFT-1"	"SIFT-100"	"SIFT-1000"	"SIFT-50"	
1	0	0.739749	0.782178	0.782178	
2	0	0.629289	0.675743	0.675743	
3	0	0.529707	0.563119	0.563119	
4	0	0.47113	0.483911	0.483911	
5	0	0.390795	0.391089	0.391089	
6	0	0.323849	0.321782	0.321782	
7	0	0.241004	0.24505	0.24505	
8	0	0.191632	0.204208	0.204208	
9	0	0.134728	0.149752	0.149752	
"Rotation"
Argument	"SIFT-1"	"SIFT-100"	"SIFT-1000"	"SIFT-50"	
0	0.5	0.994979	0.993812	0.993812	
10	0.5	0.407531	0.486386	0.486386	
20	NULL	0.0771841	0.108479	0.108479	
30	NULL	0.00860585	0.0126582	0.0126582	
40	0	0.000874891	0.0025641	0.0025641	
50	0	0	0.00129199	0.00129199	
60	NULL	0	0	0	
70	NULL	0.000854701	0.00126743	0.00126743	
80	0.5	0	0	0	
90	0.5	0	0	0	
100	0.5	0	0	0	
110	NULL	0.000848176	0.00124688	0.00124688	
120	NULL	0.000860585	0.00126582	0.00126582	
130	0	0	0	0	
140	0	0.000878735	0.00129199	0.00129199	
150	NULL	0	0	0	
160	NULL	0.000854701	0.00126743	0.00126743	
170	0.5	0.00083682	0.00247525	0.00247525	
180	0.5	0.00334728	0.00247525	0.00247525	
190	0.5	0.00251046	0.00371287	0.00371287	
200	NULL	0.00254453	0.00374065	0.00374065	
210	NULL	0	0	0	
220	0	0	0	0	
230	0	0.000878735	0.00129199	0.00129199	
240	NULL	0	0	0	
250	NULL	0	0	0	
260	0.5	0	0	0	
270	0.5	0.00083682	0.00247525	0.00247525	
280	0.5	0	0	0	
290	NULL	0.000848176	0.00124688	0.00124688	
300	NULL	0.000860585	0.00126582	0.00126582	
310	0	0	0.00128205	0.00128205	
320	0	0.0026362	0.00387597	0.00387597	
330	NULL	0.0078125	0.010296	0.010296	
340	NULL	0.074359	0.095057	0.095057	
350	0.5	0.364017	0.413366	0.413366	
360	0.5	0.994979	0.993812	0.993812	
"Scaling"
Argument	"SIFT-1"	"SIFT-100"	"SIFT-1000"	"SIFT-50"	
0.25	NULL	0	0	0	
0.35	0	0.00167364	0	0	
0.45	0	0.00585774	0.00742574	0.00742574	
0.55	0	0.0167364	0.0160891	0.0160891	
0.65	0	0.0493724	0.0594059	0.0594059	
0.75	0	0.164017	0.193069	0.193069	
0.85	0.5	0.380753	0.410891	0.410891	
0.95	0.5	0.650209	0.688119	0.688119	
1.05	0.5	0.717155	0.764852	0.764852	
1.15	0	0.512134	0.579208	0.579208	
1.25	0	0.315481	0.376238	0.376238	
1.35	0	0.186611	0.22401	0.22401	
1.45	0	0.102092	0.133663	0.133663	
1.55	0	0.060251	0.0792079	0.0792079	
1.65	0	0.0276151	0.0371287	0.0371287	
1.75	0	0.01841	0.0272277	0.0272277	
1.85	0	0.0125523	0.0160891	0.0160891	
1.95	0	0.00669456	0.00866337	0.00866337	

