"Brightness change"
Argument	"BRISK"	"FAST"	"FREAK"	"GFFT"	"MSER"	"ORB"	"SIFT"	"STAR"	"SURF"	
-50	76.1052	1184.35	372.815	72.1675	2560.19	46.7252	1199.59	33.8058	958.275	
-40	76.4258	1191.36	422.067	68.4575	2869.95	48.1129	1303.07	37.5475	983.081	
-30	85.7701	1371.14	382.457	66.6923	2805.66	48.3	1328.52	34.7101	1001.13	
-20	84.7552	1306.2	372.092	66.5533	2845.28	47.0379	1374.75	33.4941	1066.48	
-10	91.9335	1398.96	384.669	69.485	2834.55	47.4074	1276.96	34.0703	975.605	
0	85.7351	1362.54	379.34	68.0198	2832.08	49.957	1270.89	33.3084	1043.7	
10	85.5559	1303.33	365.789	67.1827	2953.24	50.5505	1248.77	35.3176	1021.96	
20	85.9894	1300.69	404.211	67.3022	2846.86	49.0079	1274.74	33.873	956.278	
30	84.1715	1257.86	363.668	65.7204	2756.39	48.6948	1281.63	33.8221	984.672	
40	83.3526	1217.91	368.486	66.3405	2700.41	48.8072	1202.74	34.4665	933.478	
50	83.3213	1255.67	362.844	75.5766	2638.72	47.8875	1195.51	34.8379	988.614	
"Gaussian blur"
Argument	"BRISK"	"FAST"	"FREAK"	"GFFT"	"MSER"	"ORB"	"SIFT"	"STAR"	"SURF"	
1	89.3508	769.901	335.354	69.5246	2408.88	47.8488	1431.24	35.4636	896.784	
2	66.1137	586.483	292.148	63.9305	1868.29	42.8888	1185.94	33.1441	767.793	
3	52.6838	299.172	245.302	61.3464	1741.27	40.5529	938.92	31.1498	676.791	
4	37.478	200.024	229.33	60.4524	1618.97	65.8991	813.196	29.5125	629.682	
5	31.7331	137.715	217.8	60.4454	1540.01	39.9519	703.968	28.0544	586.075	
6	28.6866	100.662	193.739	59.6325	1476.04	38.036	667.123	27.2047	523.988	
"Rotation"
Argument	"BRISK"	"FAST"	"FREAK"	"GFFT"	"MSER"	"ORB"	"SIFT"	"STAR"	"SURF"	
0	95.2422	1388.25	373.975	70.4061	2965.21	49.8986	1369.05	35.3516	1108.91	
10	83.1183	1313.05	368.54	63.3971	2457.63	49.265	1343.69	33.1376	963.18	
20	81.9313	1378.78	366.35	63.8787	2443.59	48.4227	1342.94	34.7115	934.898	
30	79.2922	1278.32	415.077	65.1628	2277.15	47.7275	1314.01	34.627	946.508	
40	76.9605	1232.08	395.818	66.7371	2198.9	46.6856	1307.3	36.0917	961.743	
50	76.0539	1171.81	362.943	65.0401	2287.97	47.5539	1339.99	54.1168	901.686	
60	78.5465	1162.51	355.446	62.8549	2455.81	47.7214	1292.82	33.2729	899.442	
70	89.0415	1225.79	345.816	62.0883	2357.92	47.1942	1334.09	45.8606	1075.74	
80	80.6994	1388.03	372.827	62.5806	2605.84	47.6612	1356.37	33.223	976.427	
90	97.0447	1266.69	369.592	61.6497	2708.33	49.5127	1277.66	32.5212	1079.95	
100	88.4997	1361.6	365.212	61.785	2475.59	57.0265	1322.79	33.5025	1001.2	
110	82.6615	1330.85	386.292	63.0155	2444.87	48.8833	1342.31	33.691	951.786	
"Scaling"
Argument	"BRISK"	"FAST"	"FREAK"	"GFFT"	"MSER"	"ORB"	"SIFT"	"STAR"	"SURF"	
0.25	8.57859	58.9756	12.8985	11.0054	208.226	12.8117	114.761	NULL	41.4138	
0.35	19.9881	152.172	42.1973	23.0766	335.063	16.5007	176.578	2.1674	108.713	
0.45	47.0845	363.341	63.7872	33.2804	486.012	23.8026	258.647	4.36325	172.677	
0.55	63.8638	430.002	103.701	36.9069	782.394	47.9305	362.178	9.31817	257.773	
0.65	45.6483	729.849	167.937	43.1491	1110.96	33.5244	520.72	12.3446	392.167	
0.75	56.8226	777.764	179.442	50.8491	1409.61	35.0325	699.298	17.3336	527.462	
0.85	66.2621	944.25	243.19	53.8947	1887.44	40.7008	932.864	23.8008	643.049	
0.95	81.5916	1181.75	346.436	66.6247	2304.64	46.0038	1165.42	28.5924	832.211	
1.05	86.5367	1214.67	395.01	77.2624	2764.69	50.746	1552.46	58.2645	973.503	
1.15	94.6921	1232.4	435.682	72.2916	3308.48	54.0328	1898.75	42.1338	1148.88	
1.25	103.23	1311.85	535.538	78.3379	3942.81	60.7515	2142.93	51.2145	1362.57	

