Average
SURF-2000	Brightness change	3.68252
SURF-2000	Gaussian blur	1.88911
SURF-2000	Rotation	1.64397
SURF-2000	Scaling	2.69827
SURF-5000	Brightness change	3.35484
SURF-5000	Gaussian blur	3.69425
SURF-5000	Rotation	1.72401
SURF-5000	Scaling	2.36664
"Brightness change"
Argument	"SURF-2000"	"SURF-5000"	
-127	2.18328	9.24081	
-117	1.69102	6.0706	
-107	2.26191	4.56977	
-97	1.67539	3.32965	
-87	1.13861	2.77594	
-77	1.45265	2.51166	
-67	1.12308	4.56722	
-57	0.884284	3.17085	
-47	0.919313	1.64091	
-37	0.889176	2.7579	
-27	1.23809	2.60143	
-17	0.988584	2.64128	
-7	1.01977	1.36587	
3	1.38438	1.40084	
13	1.08698	1.38464	
23	0.922457	2.38672	
33	1.10319	3.8261	
43	1.02805	1.52904	
53	1.45171	1.69146	
63	1.27631	2.38757	
73	1.34566	2.71403	
83	1.44334	2.51791	
93	30.1963	2.73754	
103	32.6012	4.715	
113	1.96803	5.38779	
123	2.4727	7.30342	
"Gaussian blur"
Argument	"SURF-2000"	"SURF-5000"	
1	1.43185	1.91666	
2	1.47867	2.48373	
3	1.7892	3.86721	
4	2.2624	2.2586	
5	1.82753	2.77368	
6	2.12496	3.45466	
7	1.92777	4.18535	
8	1.88133	6.36494	
9	2.27831	5.94346	
"Rotation"
Argument	"SURF-2000"	"SURF-5000"	
0	0.875152	1.73899	
10	1.08071	1.38426	
20	1.17243	1.58863	
30	0.709523	1.40043	
40	0.750717	1.2007	
50	0.806454	1.25821	
60	0.959688	1.34251	
70	0.797194	1.25944	
80	0.825893	1.46109	
90	0.975289	1.32381	
100	13.3852	1.29729	
110	11.9964	1.29274	
120	1.16401	1.58816	
130	1.05388	1.47486	
140	1.4835	1.53402	
150	1.09558	1.2856	
160	0.909558	1.36209	
170	0.965302	1.46243	
180	1.02576	2.42065	
190	0.92733	3.15218	
200	0.853622	1.89263	
210	0.859038	1.96687	
220	0.91459	1.55278	
230	1.12491	3.09258	
240	0.949033	2.56529	
250	0.877221	1.77928	
260	1.07043	1.66538	
270	1.04402	1.55629	
280	0.923169	1.7188	
290	1.68414	1.91267	
300	1.24373	1.87046	
310	0.973303	1.85511	
320	1.37843	1.80567	
330	1.15523	1.78558	
340	0.904494	2.01678	
350	1.09001	1.99957	
360	0.821696	1.92471	
"Scaling"
Argument	"SURF-2000"	"SURF-5000"	
0.25	1.20528	2.07355	
0.35	0.760359	1.9258	
0.45	1.11752	1.88119	
0.55	0.785563	1.84425	
0.65	0.833837	2.56188	
0.75	0.935331	2.11813	
0.85	0.84391	1.3124	
0.95	1.23558	1.36409	
1.05	1.69147	1.69616	
1.15	1.37539	1.65416	
1.25	1.5855	2.16658	
1.35	1.30136	2.58682	
1.45	1.47298	3.88271	
1.55	1.17097	3.75317	
1.65	1.34428	3.40101	
1.75	8.50136	1.87044	
1.85	21.0014	2.58654	
1.95	1.40675	3.9206	

