Argument,BRISK,FAST,FREAK,GFTT,MSER,ORB,SIFT,STAR,SURF,
-50,127.118,1329.94,493.941,64.5369,383.478,46.7632,607.098,36.6383,475.055,
-40,122.532,1589.78,384.768,66.2736,394.639,48.0077,542.983,33.0468,473.211,
-30,131.806,1370.56,415.256,64.6573,409.108,48.6306,534.026,34.6272,462.475,
-20,139.356,1608.94,385.12,63.0689,402.375,50.6772,557.751,37.6961,452.129,
-10,136.351,1549.81,464.018,63.7661,413.202,48.8331,572.328,36.3746,481.44,
0,141.97,1534.17,390.147,62.2412,416.812,49.5825,563.229,35.712,449.578,
10,136.466,1486.32,419.117,62.0303,412.043,48.6129,509.614,37.7661,489.067,
20,135.04,1499.38,398.47,69.4312,396.314,49.2815,560.756,37.6233,491.242,
30,145.128,1473.82,383.576,63.4856,407.733,48.9362,494.117,37.7418,506.137,
40,131.913,1390.15,408.732,63.5206,381.188,48.6805,491.296,37.3918,481.899,
50,129.923,1351.36,393.43,62.9327,364.807,48.5905,552.318,37.9863,540.39,
