Argument,BRISK,FAST,FREAK,GFTT,MSER,ORB,SIFT,STAR,SURF,
0,1,1,1,1,1,1,1,1,1,
10,0.471939,0.506389,0.776708,0.760135,0.627358,0.895013,0.642349,0.73913,0.537619,
20,0.138329,0.0759711,0.619395,0.21179,0.290503,0.83908,0.148421,0.207792,0.0924855,
30,0.011396,0.0105895,0.534958,0.0418502,0.0549451,0.880682,0.0222717,0.0572687,0.0119352,
40,0.00884956,0.00218739,0.505353,0.00671141,0.0248447,0.852861,0.00797267,0.00925926,0.000845309,
50,0,0.000728863,0.493348,0.00223714,0.00628931,0.853591,0.00116009,0.00930233,0,
60,0,0.000379651,0.547391,0.00230415,0.0060241,0.831956,0,0.00495049,0,
70,0,0.000377929,0.629431,0,0,0.855978,0.00233645,0,0.000891266,
80,0,0,0.75835,0,0,0.825858,0,0.00473934,0,
90,0.00290698,0.000359066,0.983027,0,0,0.863309,0.00118203,0,0,
100,0,0,0.785083,0.00215983,0.00598802,0.820163,0.00110132,0,0,
110,0,0.000353607,0.618802,0,0.00617284,0.815341,0,0.00480769,0.00174825,
