Argument,BRISK,FAST,FREAK,GFTT,MSER,ORB,SIFT,STAR,SURF,
0.25,16.1821,66.9843,13.0063,9.92714,81.0209,11.5631,43.3309,NULL,19.879,
0.35,29.5794,170.023,32.6422,21.9078,89.4161,16.8269,72.361,3.27001,47.9867,
0.45,43.7513,280.784,56.6097,38.3675,110.041,21.8495,98.5029,4.86022,83.5326,
0.55,59.3193,432.091,91.0558,37.4287,220.94,27.4358,140.307,8.18155,125.193,
0.65,73.5387,548.578,152.01,43.6407,239.837,32.1714,191.049,12.4128,240.737,
0.75,87.4979,749.4,210.068,46.682,258.627,36.5832,297.206,17.0565,255.55,
0.85,104.54,1140.52,243.665,56.9675,324.322,39.7552,397.518,26.1148,288.698,
0.95,126.834,1119.51,356.212,59.7849,355.658,45.0867,452.346,32.624,419.423,
1.05,127.477,1459,411.1,66.9007,425.147,49.1061,614.008,36.9313,453.939,
1.15,157.959,1392.21,502.182,72.767,459.849,53.9229,685.223,44.0471,553.24,
1.25,160.451,1320.67,551.26,77.0253,556.301,58.7645,822.254,53.0009,675.775,
