Argument,BRISK-10,BRISK-20,BRISK-30,BRISK-40,BRISK-50,BRISK-60,BRISK-70,BRISK-80,BRISK-90,FAST-10,FAST-20,FAST-30,FAST-40,FAST-50,FAST-60,FAST-70,FAST-80,FAST-90,FREAK-1200,FREAK-1500,FREAK-1800,FREAK-2100,FREAK-2400,FREAK-2700,FREAK-300,FREAK-600,FREAK-900,MSER-12,MSER-15,MSER-18,MSER-21,MSER-24,MSER-27,MSER-3,MSER-6,MSER-9,ORB-10,ORB-12,ORB-14,ORB-16,ORB-18,ORB-2,ORB-4,ORB-6,ORB-8,SIFT-10,SIFT-20,SIFT-30,SIFT-40,SIFT-50,SIFT-60,SIFT-70,SIFT-80,SIFT-90,STAR-10,STAR-20,STAR-30,STAR-40,STAR-50,STAR-60,STAR-70,STAR-80,STAR-90,SURF-1000,SURF-1200,SURF-1400,SURF-1600,SURF-1800,SURF-200,SURF-400,SURF-600,SURF-800,
-50,0.956581,0.957627,0.959432,0.95933,0.968571,0.966777,0.975207,0.990385,0.988571,0.978839,0.985866,0.989716,0.993865,0.995134,0.99665,0.990971,0.99435,0.985866,0.94709,0.960486,0.961806,0.958848,0.972603,0.979592,0.931759,0.941392,0.942222,1,1,1,1,1,1,0.991848,0.988189,0.994152,0.5,0.428571,0.5,0.5,0.666667,1,0.333333,0.25,0.333333,1,1,0.928571,0.95,1,0.96875,0.973684,0.97619,1,0.989399,0.980716,0.97929,0.96732,0.955102,0.955102,0.942675,0.942675,0.942675,0.9568,0.961199,0.962891,0.959488,0.960187,0.948052,0.942913,0.952955,0.959384,
-40,0.971985,0.972561,0.974684,0.976395,0.984733,0.990964,0.992593,1,0.989796,0.989658,0.994889,0.998873,0.998378,0.998869,0.99842,0.993697,0.992021,0.990099,0.980099,0.994269,0.987261,0.978022,0.979839,0.977376,0.972087,0.978041,0.985294,1,1,1,1,1,1,0.992593,0.996324,1,0.857143,1,1,0.916667,1,1,0.333333,0.6,0.833333,1,0.818182,0.875,0.954545,1,1,0.95,1,1,0.990654,0.987469,0.986667,0.987988,0.984906,0.984906,0.97619,0.97619,0.97619,0.989781,0.99026,0.992857,0.994175,0.993684,0.974216,0.978533,0.977949,0.98708,
-30,0.990919,0.987306,0.993209,0.992048,0.997579,0.997199,1,1,1,0.994386,0.997935,1,1,1,1,1,1,1,0.993166,0.994723,0.994048,0.993151,0.984962,0.991379,0.992126,0.99529,0.994209,1,1,1,1,1,1,1,1,1,0.857143,1,1,1,1,1,0.5,0.75,1,1,1,0.941176,0.96,1,1,0.97619,0.978723,0.980392,0.997041,0.995283,0.992366,0.991477,0.992857,0.992857,0.988571,0.988571,0.988571,0.998628,0.996997,0.998325,0.996364,0.996101,0.988932,0.992456,0.992791,0.99759,
-20,0.995685,0.995979,0.995192,0.996226,0.997696,0.997319,1,1,1,0.998931,0.999012,1,1,1,1,1,1,1,0.997812,1,1,1,1,1,0.996798,0.998527,0.998188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.909091,0.941176,1,1,1,1,1,1,1,1,0.997585,1,1,1,1,1,1,1,1,1,1,1,0.998125,0.998411,1,1,
-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
10,0.998944,0.9987,1,0.998175,0.997792,0.997403,1,1,1,1,1,1,0.999272,1,1,1,1,1,1,1,1,1,1,0.995918,0.99895,0.998555,1,1,1,1,1,1,1,1,1,1,0.9,0.916667,0.928571,0.9375,0.944444,1,1,1,0.857143,1,0.818182,1,1,1,1,1,0.980392,1,1,1,1,1,1,1,1,1,1,1,1,0.998415,1,1,0.999391,1,1,1,
20,0.994589,0.995995,0.995261,0.994371,0.995495,0.994667,0.996656,0.995868,0.995192,0.99858,0.998691,1,0.999266,1,0.998563,1,1,1,1,0.997355,1,0.996689,0.996337,0.995816,0.995676,0.995542,0.996219,0.992,1,0.985294,1,1,1,1,1,1,1,1,1,0.923077,1,0.5,1,1,1,1,0.8,0.944444,1,0.964286,1,1,1,1,1,1,1,1,0.993056,0.993056,0.994624,0.994624,0.994624,0.996094,0.992764,0.99513,0.996503,0.994382,0.99434,0.99599,0.997076,0.996552,
30,0.993326,0.99589,0.99513,0.994209,0.997658,0.994444,0.993031,0.991489,0.985,0.997635,0.998656,1,1,1,1,1,1,1,0.988038,0.988981,0.9875,0.986254,0.984615,0.986667,0.983203,0.987673,0.996071,0.991803,1,0.985294,1,1,1,0.997658,0.992958,1,1,1,1,0.923077,1,0.5,1,1,1,1,0.8,0.875,1,0.961538,0.965517,0.972222,1,0.979167,1,0.997664,0.997475,0.991525,0.985816,0.985816,0.989071,0.989071,0.989071,0.989218,0.987842,0.989933,0.990975,0.992079,0.985705,0.985173,0.987964,0.990533,
40,0.989559,0.985673,0.991497,0.99187,0.992629,0.98827,0.98893,0.986364,0.983784,0.994016,0.995871,0.998394,0.99845,1,1,1,1,0.996516,0.980247,0.985994,0.983871,0.989209,0.988142,0.985981,0.972125,0.982114,0.989858,0.991597,1,0.984848,1,1,1,0.997585,0.996283,0.994253,1,1,1,1,0.909091,0.5,1,1,0.833333,1,0.875,0.928571,0.894737,0.909091,0.892857,0.909091,0.921053,0.909091,0.996914,0.985366,0.989583,0.988166,0.981752,0.981752,0.98324,0.98324,0.98324,0.977992,0.978328,0.978041,0.985294,0.981818,0.973136,0.971939,0.975181,0.978182,
