Argument,BRISK,FAST,FREAK,MSER,ORB,STAR,
-50,60.0392,1299.25,383.6,506.549,45.2688,33.5177,
-40,67.6957,1406.31,382.419,439.458,46.7465,34.1276,
-30,70.1603,1329,389.435,403.951,47.0834,34.5527,
-20,76.7474,1362.31,365.877,426.065,51.4658,34.3133,
-10,78.3563,1396.02,393.798,434.206,53.5062,34.1276,
0,74.3943,1670.63,366.39,427.572,50.7677,34.4719,
10,73.1667,1574.66,355.14,406.414,54.4315,35.7509,
20,71.6684,1444.08,385.583,420.452,48.6684,34.0819,
30,71.4524,1524.06,346.988,463.074,46.9219,34.5018,
40,78.3889,1458.78,350.244,379.621,46.6751,33.8444,
50,70.6955,1302.99,345.947,374.373,46.809,34.3502,
