Argument,BRISK-10,BRISK-20,BRISK-30,BRISK-40,BRISK-50,BRISK-60,BRISK-70,BRISK-80,BRISK-90,FAST-10,FAST-20,FAST-30,FAST-40,FAST-50,FAST-60,FAST-70,FAST-80,FAST-90,FREAK-1200,FREAK-1500,FREAK-1800,FREAK-2100,FREAK-2400,FREAK-2700,FREAK-300,FREAK-600,FREAK-900,MSER-12,MSER-15,MSER-18,MSER-21,MSER-24,MSER-27,MSER-3,MSER-6,MSER-9,ORB-10,ORB-12,ORB-14,ORB-16,ORB-18,ORB-2,ORB-4,ORB-6,ORB-8,SIFT-10,SIFT-20,SIFT-30,SIFT-40,SIFT-50,SIFT-60,SIFT-70,SIFT-80,SIFT-90,STAR-10,STAR-20,STAR-30,STAR-40,STAR-50,STAR-60,STAR-70,STAR-80,STAR-90,SURF-1000,SURF-1200,SURF-1400,SURF-1600,SURF-1800,SURF-200,SURF-400,SURF-600,SURF-800,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
10,0.404218,0.458874,0.468193,0.498542,0.567944,0.594378,0.629808,0.684211,0.690141,0.506389,0.592461,0.664839,0.712054,0.772727,0.791583,0.85,0.871383,0.87251,0.894444,0.907348,0.905263,0.90625,0.907489,0.914141,0.832362,0.878613,0.886836,0.727273,0.714286,0.692308,0.705882,0.75,0.8,0.623656,0.68306,0.669421,0.833333,0.777778,0.727273,0.666667,0.833333,0,0.666667,0.6,0.8,1,1,0.933333,1,1,0.966667,0.942857,0.925,0.930233,0.82197,0.777778,0.775641,0.73913,0.782407,0.782407,0.791045,0.791045,0.791045,0.703041,0.72,0.727669,0.754762,0.763959,0.582685,0.610778,0.639276,0.687702,
20,0.101626,0.116337,0.138728,0.163194,0.184426,0.20202,0.248485,0.273381,0.264463,0.0759711,0.107403,0.137218,0.177027,0.22037,0.22365,0.285714,0.31441,0.342541,0.743284,0.730375,0.746154,0.760684,0.766667,0.788043,0.669782,0.711694,0.752451,0.318182,0.530612,0.512821,0.575758,0.608696,0.823529,0.243697,0.306122,0.35514,0.714286,0.875,0.7,0.727273,0.833333,1,0.666667,0.6,0.6,1,0.75,0.692308,0.777778,0.736842,0.68,0.666667,0.606061,0.6,0.25,0.191336,0.181102,0.207792,0.227027,0.227027,0.276786,0.276786,0.276786,0.180873,0.179724,0.207692,0.226891,0.239521,0.112691,0.125512,0.141463,0.162011,
30,0.0137525,0.0120192,0.011396,0.00990099,0.0125,0.0192308,0.0220994,0.047619,0.0390625,0.0105895,0.019821,0.0262391,0.0267983,0.0352941,0.0432432,0.0487805,0.0727273,0.0628571,0.647975,0.648746,0.676113,0.706422,0.715,0.719101,0.584565,0.616702,0.636842,0.114754,0.166667,0.162162,0.214286,0.285714,0.5625,0.0748899,0.0827586,0.0689655,0.666667,0.857143,0.777778,0.9,0.909091,1,1,0.6,0.8,1,0.666667,0.5,0.6,0.47619,0.357143,0.296296,0.205882,0.236842,0.0304348,0.0477941,0.037594,0.0572687,0.0451977,0.0451977,0.0333333,0.0333333,0.0333333,0.0227273,0.0198511,0.0222222,0.0210843,0.0288462,0.010453,0.0144928,0.020654,0.0199203,
40,0.00610998,0.00761421,0.00882353,0.0143369,0.021645,0.0102041,0.0128205,0.0143885,0.0333333,0.00218739,0.00449583,0.00395257,0.00429185,0.00595238,0.00550964,0.0140845,0.0186916,0.0176471,0.608696,0.632727,0.652,0.687783,0.693878,0.687861,0.547855,0.599138,0.614583,0.0793651,0.102041,0.131579,0.192308,0.210526,0.384615,0.00456621,0.0283688,0.040404,0.428571,0.625,0.636364,0.615385,0.571429,1,0.666667,0.5,0.4,1,0.75,0.5,0.307692,0.222222,0.28,0.222222,0.176471,0.162162,0.00495049,0.00396825,0.0121457,0.00925926,0.0171429,0.0171429,0.047619,0.047619,0.047619,0.00460829,0.00502513,0.0027933,0.00297619,0.0031746,0.0011919,0.00293255,0.00176678,0.00407332,
50,0,0,0,0,0,0,0,0,0,0.000728863,0.00132188,0,0.00149254,0.00205339,0.00802139,0.00740741,0.00925926,0,0.645161,0.676471,0.701613,0.699115,0.70936,0.734807,0.544538,0.613272,0.636364,0.046875,0.0222222,0,0.0344828,0,0.0666667,0.00930233,0.0138889,0.0208333,0.8,1,0.8,0.818182,0.666667,0.5,1,0.75,0.6,0.428571,0.222222,0.0909091,0.0666667,0.0952381,0.12,0.107143,0.0625,0.0645161,0.015625,0.00420168,0.00416667,0.00930233,0.00613497,0.00613497,0.019802,0.019802,0.019802,0.00239808,0.00263852,0.00295858,0.00322581,0.00677966,0,0,0,0.00214133,
60,0,0,0,0,0,0,0,0,0,0.000379651,0.00067659,0,0,0,0,0,0,0,0.65798,0.685185,0.716738,0.697248,0.686869,0.704545,0.589786,0.624444,0.660326,0,0.0416667,0,0.037037,0.047619,0.0625,0,0,0,0.75,1,0.818182,0.846154,0.769231,1,0.666667,0.8,0.857143,0.333333,0.142857,0.1,0.0769231,0.0526316,0.047619,0,0,0.0322581,0.00537634,0.00888889,0,0.00495049,0,0,0.00892857,0.00892857,0.00892857,0,0.0026455,0.00296736,0.0031746,0.00352113,0,0,0,0,
70,0.00215517,0,0,0,0,0,0,0,0,0.000377929,0,0,0,0,0.00273973,0.00367647,0,0,0.75,0.763066,0.792829,0.801762,0.81,0.83908,0.680851,0.723542,0.752632,0.0153846,0.0188679,0,0,0.0588235,0.133333,0.00465116,0,0.0116279,1,1,1,1,0.833333,1,1,1,1,0.333333,0.166667,0.125,0.0833333,0.0666667,0.0952381,0.12,0.129032,0.117647,0.00537634,0,0,0,0.00641026,0.00641026,0,0,0,0.00241546,0.0027027,0.003003,0.00330033,0.00350877,0.00121507,0.00158228,0.00185874,0.00217391,
80,0,0,0,0,0,0,0,0,0,0,0,0.00105263,0,0,0,0,0,0,0.870968,0.877551,0.900383,0.891213,0.899522,0.916667,0.820031,0.848548,0.879699,0,0,0.0606061,0.0909091,0.125,0.0769231,0.00442478,0.00689655,0,0.75,0.875,0.8,0.727273,0.75,0,0.75,0.666667,0.571429,0.25,0.125,0,0,0,0,0.04,0.0357143,0,0,0.004,0.004329,0.00473934,0.017341,0.017341,0.0190476,0.0190476,0.0190476,0,0,0,0.00657895,0.00687285,0,0,0,0,
90,0,0,0.00290698,0.00350877,0.00425532,0,0,0,0,0.000359066,0,0,0,0,0,0,0,0,0.988814,0.992126,0.991228,0.990164,0.992832,0.991701,0.986828,0.988006,0.988764,0.015873,0,0.0285714,0.0434783,0,0,0.00436681,0,0.0108696,0.777778,0.8,0.727273,0.769231,0.733333,0,0.75,0.666667,0.714286,0,0,0,0.0588235,0.0526316,0.0454545,0.0416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
