Argument,BRISK-10,BRISK-20,BRISK-30,BRISK-40,BRISK-50,BRISK-60,BRISK-70,BRISK-80,BRISK-90,FAST-10,FAST-20,FAST-30,FAST-40,FAST-50,FAST-60,FAST-70,FAST-80,FAST-90,FREAK-1200,FREAK-1500,FREAK-1800,FREAK-2100,FREAK-2400,FREAK-2700,FREAK-300,FREAK-600,FREAK-900,MSER-12,MSER-15,MSER-18,MSER-21,MSER-24,MSER-27,MSER-3,MSER-6,MSER-9,ORB-10,ORB-12,ORB-14,ORB-16,ORB-18,ORB-2,ORB-4,ORB-6,ORB-8,SIFT-10,SIFT-20,SIFT-30,SIFT-40,SIFT-50,SIFT-60,SIFT-70,SIFT-80,SIFT-90,STAR-10,STAR-20,STAR-30,STAR-40,STAR-50,STAR-60,STAR-70,STAR-80,STAR-90,SURF-1000,SURF-1200,SURF-1400,SURF-1600,SURF-1800,SURF-200,SURF-400,SURF-600,SURF-800,
0,767.466,459.786,350.713,273.725,223.856,172.73,137.324,105.012,95.1848,6504.68,1861.4,1195.86,639.832,478.235,216.932,151.924,109.457,104.615,387.804,335.919,297.747,293.146,309.043,268.325,751.28,566.062,432.478,509.926,398.018,332.947,268.458,240.406,197.714,1228.44,1165.2,712.033,119.237,122.251,122.494,125.44,122.95,124.276,123.118,118.491,121.316,1310.34,1344.91,1319.2,1315.16,1339,1354.45,1342.46,1332.62,1482.54,147.368,194.884,176.95,155.943,121.839,126.792,85.7808,83.7665,89.4577,613.607,498.631,468.486,449.279,423.531,1096.67,801.678,702.944,614.739,
10,648.079,521.284,365.849,264.978,209.031,165.448,141.452,108.844,98.2579,6654.21,1797.25,1050.92,490.478,319.719,180.057,147.693,99.0045,79.3323,395.919,332.937,390.684,295.196,284.612,260.444,815.63,508.644,398.958,537.334,456.301,369.727,280.818,212.518,210.416,1531.14,954.928,698.783,124.059,121.425,124.954,126.311,124.845,125.469,113.788,118.655,124.194,1359.71,1387.09,1356.4,1482.33,1339.89,1411.94,1333.95,1351.43,1438.56,143.517,178.37,175.832,148.192,123.783,123.047,78.4793,82.6009,79.7392,626.04,485.572,502.187,448.173,411.181,1162.56,796.936,685.963,576.578,
20,643.275,421.909,335.77,250.592,212.255,157.767,143.565,105.633,97.3891,6562.75,1851.13,1054.83,487.198,311.693,180.449,143.522,101.251,76.9498,365.085,341.02,334.598,290.075,282.499,274.123,682.043,752.698,434.136,497.288,405.009,307.129,266.447,220.773,220.369,1147.88,830.538,626.325,120.266,119.637,122.074,124.308,123.125,124.239,111.179,116.135,120.661,1323.46,1421.57,1315.5,1352.53,1364.67,1383.07,1338.33,1340.77,1370.39,149.694,181.344,172.223,146.654,113.914,120.965,78.5073,81.7913,80.8875,653.839,496.723,456.017,443.9,435.32,1101.23,841.791,701.13,590.233,
30,615.879,406.661,330.341,234.195,199.471,160.754,138.28,109.21,103.147,6021.59,1686.41,931.325,469.85,278.226,178.975,148.622,103.417,79.5325,366.826,353.783,308.945,296.022,286.961,264.322,730.93,497.703,406.285,480.398,391.984,340.55,260.014,223.837,192.251,1169.95,857.303,657.666,119.182,136.6,121.416,123.556,120.611,135.603,108.93,113.425,117.128,1313.57,1696.74,1303.07,1330.37,1330.97,1350.8,1329.89,1352.44,1355.96,151.985,177.181,179.7,160.804,117.247,121.961,82.2332,83.4226,80.3332,695.513,486.578,438.801,408.385,402.48,1095.93,754.529,677.765,568.17,
40,574.929,387.085,309.163,216.873,193.977,153.324,139.84,104.529,93.7971,5920.49,1617.12,870.361,447.596,255.007,167.732,135.976,89.802,69.2624,473.202,329.943,347.398,289.643,302.547,260.225,691.275,504.686,452.965,500.136,406.075,320.396,242.421,203.633,184.622,1039.12,785.388,581.479,116.114,116.765,120.233,122.743,120.712,131.465,125.39,115.562,118.048,1307.31,1468.47,1398.32,1348.05,1329.17,1366.96,1335.3,1335.32,1356.28,139.683,177.843,165.048,162.441,115.093,120.56,82.3998,84.5541,85.3501,630.308,487.177,429.991,418.77,430.379,1108.18,736.08,665.057,574.672,
50,603.052,378.928,290.043,238.915,184.56,147.169,133.325,97.7745,87.4247,5757.87,1665.81,781.729,433.703,261.436,166.271,129.52,93.002,69.6763,346.914,324.115,308.797,306.365,283.646,265.152,669.219,571.63,421.206,499.52,417.642,365.634,293.557,227.479,212.607,1091,751.812,569.975,116.411,116.66,121.372,121.834,118.288,126.596,111.091,114.093,114.052,1314.35,1464.66,1333.13,1379.96,1321.01,1352.67,1336.79,1355.66,1366.02,135.783,168.797,167.73,163.334,113.698,120.37,85.0184,87.225,87.9351,574.177,462.241,428.622,405.801,401.615,1051.84,702.994,643.232,596.612,
60,580.074,374.763,290.354,210.925,183.662,149.836,126.104,103.054,88.9239,5601.8,1553.05,787.307,420.195,249.458,159.963,126.892,90.3708,69.7136,336.988,327.495,311.676,285.908,283.416,265.222,731.336,496.25,404.929,471.353,408.216,354.115,296.509,247.509,211.91,1035.74,783.202,605.422,118.62,117.506,120.367,121.746,120.559,125.207,110.038,115.13,115.627,1308.72,1460.33,1307.38,1359.3,1313.08,1343.3,1332.42,1326.41,1363.45,131.114,166.814,165.292,149.373,113.501,115.375,82.0349,81.4633,87.5521,604.443,486.274,412.756,389.258,437.252,1056.01,738.279,621.696,523.452,
70,591.433,373.064,290.206,212.348,185.311,148.059,130.885,99.8099,91.061,5516.18,1561.27,751.183,426.595,250.297,169.201,128.587,89.4651,71.5413,342.407,331.416,361.362,285.432,274.677,262.03,643.067,538.648,396.474,493.403,436.908,393.688,316.382,266.201,201.958,1106,842.361,649.582,118.478,119.482,119.485,122.841,121.027,123.009,107.511,117.769,115.556,1316.17,1617.48,1306.07,1350.54,1314.15,1340.69,1354.81,1323.55,1338.09,129.84,167.922,158.818,152.786,120.621,113.641,78.0888,77.2927,82.6914,592.172,443.298,414.184,403.196,380.614,1032.93,763.216,610.314,539.553,
80,601.383,489.03,305.534,217.414,183.384,152.227,129.938,98.99,91.388,6112.84,1649.95,840.569,443.739,253.308,165.226,130.299,88.7601,68.8639,343.872,314.37,295.796,278.168,288.453,255.005,692.555,684.813,386.344,509.08,493.35,366.934,310.097,260.962,212.176,1226.69,888.743,652.167,120.72,137.365,124.579,123.829,122.344,124.031,111.181,117.697,122.36,1318.89,1574.2,1323.04,1328.16,1331.61,1325.19,1342,1330.56,1362.82,132.27,173.703,158.698,145.658,127.73,119.519,77.2591,91.7814,89.3588,566.735,455.853,440.621,393.911,379.799,1070.3,748.69,646.491,593.478,
90,661.807,444.399,342.504,241.807,205.288,167.32,134.649,101.289,94.2847,6142.03,1674.82,870.744,465.823,320.039,171.22,137.013,95.3239,74.6928,355.089,342.65,328.37,302.372,280.189,256.751,648.385,780.54,406.242,457.953,372.558,320.6,254.666,243.903,182.32,1417.98,921.074,670.698,121.065,127.011,124.503,125.384,123.299,126.145,131.274,117.912,121.325,1312.69,1387.53,1307.82,1341.03,1312.13,1308.73,1317.39,1316.27,1332.99,138.056,168.26,155.098,143.307,111.74,117.007,77.6898,82.6107,82.7213,590.469,499.721,426.184,403.09,391.649,1090.22,792.306,654.439,536.237,
