Argument,BRISK,FAST,FREAK,MSER,ORB,STAR,
0.25,7.4895,58.7331,12.4313,139.646,9.2682,NULL,
0.35,12.7659,199.387,33.2042,173.783,15.9155,2.93495,
0.45,22.5642,282.731,57.708,167.304,20.7659,4.82378,
0.55,30.1493,471.327,92.8089,247.701,25.0619,8.81186,
0.65,39.5878,596.375,158.4,296.658,29.839,11.5396,
0.75,43.0477,716.411,184.674,336.411,33.6055,16.083,
0.85,53.4703,914.921,260.006,619.413,38.4712,20.7313,
0.95,68.0676,988.398,303.762,416.607,43.484,29.0966,
1.05,70.5784,1287.49,371.354,441.944,46.7577,34.1673,
1.15,75.3985,1237.19,465.956,461.35,53.0765,44.7107,
1.25,87.8755,1305.53,512.729,657.097,56.6409,52.908,
