Average
MSER-0	Brightness change	0.6633
MSER-0	Gaussian blur	0.244444
MSER-0	Rotation	0.0803657
MSER-0	Scaling	0.145293
MSER-30	Brightness change	0.776923
MSER-30	Gaussian blur	0.283333
MSER-30	Rotation	0.166216
MSER-30	Scaling	0.263889
MSER-60	Brightness change	0.692308
MSER-60	Gaussian blur	-1.#IND
MSER-60	Rotation	0.241379
MSER-60	Scaling	0
"Brightness change"
Argument	"MSER-0"	"MSER-30"	"MSER-60"	
-127	0.2	0.3	0.5	
-117	0.230534	0.3	0.5	
-107	0.274809	0.35	0.5	
-97	0.326718	0.35	0.5	
-87	0.418321	0.55	0.5	
-77	0.494657	0.65	0.5	
-67	0.59084	0.75	0.5	
-57	0.677863	0.8	0.5	
-47	0.751145	0.85	0.5	
-37	0.816794	1	1	
-27	0.879389	1	1	
-17	0.903817	1	1	
-7	0.908397	1	1	
3	0.908397	1	1	
13	0.89771	1	1	
23	0.871756	1	1	
33	0.842748	1	1	
43	0.80458	1	1	
53	0.774046	0.95	1	
63	0.751145	0.95	0.5	
73	0.732824	0.85	0.5	
83	0.705343	0.8	0.5	
93	0.673282	0.75	0.5	
103	0.642748	0.7	0.5	
113	0.61374	0.65	0.5	
123	0.554198	0.65	0.5	
"Gaussian blur"
Argument	"MSER-0"	"MSER-30"	"MSER-60"	
1	0.479389	0.4	NULL	
2	0.375573	0.3	NULL	
3	0.300763	0.15	NULL	
4	0.251908	NULL	NULL	
5	0.218321	NULL	NULL	
6	0.198473	NULL	NULL	
7	0.145038	NULL	NULL	
8	0.134351	NULL	NULL	
9	0.0961832	NULL	NULL	
"Rotation"
Argument	"MSER-0"	"MSER-30"	"MSER-60"	
0	0.91145	1	1	
10	0.341985	0.75	0.5	
20	0.135484	0.4	0.5	
30	0.0196721	0.3	0.5	
40	0.00165837	0.25	0	
50	0.00328407	0.05	0	
60	0.00162338	0.05	0	
70	0.00156495	0.1	NULL	
80	0.00153374	0.1	NULL	
90	0.00152672	0.05	0.5	
100	0	0.1	0.5	
110	0	0.05	0.5	
120	0.00327869	0.15	0.5	
130	0.00165837	0	0	
140	0	0	0	
150	0.00487013	0	0	
160	0.0125196	0	NULL	
170	0.0184049	0	NULL	
180	0.00916031	0.05	1	
190	0.00610687	0.1	0.5	
200	0.00967742	0.1	0	
210	0.00327869	0.1	0	
220	0	0.15	0	
230	0	0.05	0	
240	0.00162338	0.05	0	
250	0.00312989	0	NULL	
260	0	0	NULL	
270	0.00152672	0	0	
280	0.00152672	0	0	
290	0.0016129	0.1	0	
300	0.00163934	0.1	0	
310	0.00331675	0.05	0	
320	0.0114943	0.1	0	
330	0.0373377	0	0	
340	0.123631	0.25	NULL	
350	0.386503	0.6	NULL	
360	0.91145	1	1	
"Scaling"
Argument	"MSER-0"	"MSER-30"	"MSER-60"	
0.25	0	0	0	
0.35	0.00152672	0	NULL	
0.45	0.00610687	0	0	
0.55	0.0137405	0.15	NULL	
0.65	0.0580153	0.1	NULL	
0.75	0.116031	0.35	NULL	
0.85	0.326718	0.35	NULL	
0.95	0.505343	0.55	NULL	
1.05	0.537405	0.6	NULL	
1.15	0.40458	0.55	NULL	
1.25	0.280916	0.5	NULL	
1.35	0.157252	0.45	NULL	
1.45	0.080916	0.3	NULL	
1.55	0.048855	0.3	NULL	
1.65	0.0412214	0.3	NULL	
1.75	0.0137405	0.15	0	
1.85	0.0152672	0.05	0	
1.95	0.00763359	0.05	0	

