Average
SIFT-1	Brightness change	896.669
SIFT-1	Gaussian blur	1154.39
SIFT-1	Rotation	744.416
SIFT-1	Scaling	1434.12
SIFT-100	Brightness change	2.62183
SIFT-100	Gaussian blur	2.90641
SIFT-100	Rotation	2.49276
SIFT-100	Scaling	2.64828
SIFT-1000	Brightness change	2.31911
SIFT-1000	Gaussian blur	3.64498
SIFT-1000	Rotation	2.56737
SIFT-1000	Scaling	2.36835
SIFT-50	Brightness change	2.78153
SIFT-50	Gaussian blur	2.91507
SIFT-50	Rotation	2.65142
SIFT-50	Scaling	2.81243
"Brightness change"
Argument	"SIFT-1"	"SIFT-100"	"SIFT-1000"	"SIFT-50"	
-127	570.36	4.68345	3.74827	4.10073	
-117	1246.36	2.22411	3.432	2.91525	
-107	632.643	1.96326	2.33202	4.43019	
-97	1289.52	1.99285	2.17551	4.69143	
-87	1270.54	3.0726	2.21335	3.76735	
-77	1254.61	2.9764	2.06795	2.64246	
-67	1299.99	2.54722	1.73195	2.16678	
-57	692.292	2.12047	1.73753	2.03537	
-47	1486.7	3.37198	2.03458	2.79098	
-37	792.478	2.36394	1.94675	2.75005	
-27	783.326	2.36645	1.56033	2.00708	
-17	683.694	2.91919	1.5868	1.85179	
-7	695.071	2.11104	1.61877	2.05955	
3	746.292	2.31934	2.37739	2.88475	
13	773.431	2.95298	2.26091	3.05646	
23	762.418	2.1833	2.20767	1.99102	
33	730.247	2.47824	2.15866	2.11527	
43	688.77	2.99627	2.14695	2.86177	
53	678.91	2.37324	2.56631	3.29845	
63	743.758	2.5818	3.89069	2.19951	
73	778.241	3.4042	3.74788	2.09812	
83	1507.09	2.21447	2.75399	2.06326	
93	1422.98	2.41011	2.23902	3.19048	
103	674.877	3.09016	1.87213	3.8282	
113	650.972	2.30641	1.90575	2.46517	
123	457.809	2.14412	1.98364	2.05839	
"Gaussian blur"
Argument	"SIFT-1"	"SIFT-100"	"SIFT-1000"	"SIFT-50"	
1	1835.75	2.92075	2.90057	1.07558	
2	1434.92	2.6273	2.93445	1.03092	
3	669.348	1.90218	2.29976	0.994363	
4	1213.58	2.05321	2.12099	3.28079	
5	1071.43	3.05482	2.68084	2.91426	
6	1029.93	3.69619	4.20113	2.67472	
7	1009.43	3.38261	5.76967	3.38957	
8	1059.65	3.1323	5.45983	5.23234	
9	1065.49	3.38833	4.43764	5.64307	
"Rotation"
Argument	"SIFT-1"	"SIFT-100"	"SIFT-1000"	"SIFT-50"	
0	769.51	3.2745	2.1725	2.38397	
10	720.939	1.94083	2.70194	2.077	
20	NULL	2.32665	3.11799	2.61521	
30	NULL	2.79498	1.678	3.54439	
40	779.059	1.86577	1.88156	2.30346	
50	771.13	2.11772	2.53652	1.96837	
60	NULL	2.86442	2.79869	2.98039	
70	NULL	2.31038	2.43366	3.2161	
80	700.773	1.72207	1.8954	2.29911	
90	733.521	2.74267	1.85769	1.95583	
100	778.303	2.33312	2.79159	2.71745	
110	NULL	2.50082	2.40378	2.81766	
120	NULL	3.03387	1.85026	2.12478	
130	694.724	2.0585	2.64817	2.18043	
140	702.052	2.169	3.05455	3.12764	
150	NULL	3.09392	3.26459	3.13111	
160	NULL	2.14611	2.05573	2.13044	
170	773.954	2.09811	2.29513	2.27135	
180	703.97	3.02581	2.99756	2.98971	
190	696.298	2.40177	2.68008	3.08981	
200	NULL	2.46507	1.75567	2.16119	
210	NULL	3.51739	2.48649	2.12463	
220	799.915	2.27725	2.97361	3.30639	
230	819.34	2.71254	3.68684	2.88665	
240	NULL	2.77567	2.35587	2.21718	
250	NULL	1.91902	2.64047	2.40684	
260	735.292	2.13381	2.93006	3.18095	
270	762.387	2.69787	2.5368	2.68795	
280	802.18	2.22089	4.15429	2.08076	
290	NULL	2.08239	3.37675	2.38143	
300	NULL	2.65551	1.79566	3.75914	
310	698.159	2.68786	1.72201	2.93092	
320	776.98	2.58676	1.83012	2.07293	
330	NULL	3.45238	2.78388	2.99007	
340	NULL	1.72706	1.92151	4.02936	
350	726.084	2.28818	3.16235	2.64025	
360	688.168	3.21142	3.76485	2.3215	
"Scaling"
Argument	"SIFT-1"	"SIFT-100"	"SIFT-1000"	"SIFT-50"	
0.25	NULL	2.27761	3.46672	2.79323	
0.35	219.834	1.67912	2.21466	3.32995	
0.45	159.236	1.73211	1.90537	2.44152	
0.55	229.447	1.68823	2.40614	3.03207	
0.65	327.657	2.54463	1.59764	3.44274	
0.75	432.341	3.7824	2.61447	2.22518	
0.85	612.73	3.59548	2.24746	2.23567	
0.95	742.419	2.08078	2.18678	2.0921	
1.05	1726.09	4.25047	2.5063	3.53344	
1.15	1099.62	2.30999	4.16359	2.88122	
1.25	926.72	2.2326	2.58994	2.36354	
1.35	1380.12	3.11583	2.11856	2.93119	
1.45	1729.89	2.7374	2.44322	2.55331	
1.55	1297.98	2.84391	1.77631	2.39734	
1.65	4286.58	2.92074	1.80377	3.11897	
1.75	4394.53	2.48984	1.84389	3.15219	
1.85	2238.93	2.81124	2.09234	2.72151	
1.95	2575.91	2.57662	2.65317	3.3785	

